name,street,city,state,zip,phone,website,description,source_url
Browse Spas & Wellness Destinations,8 of 63 Emerald Wellness Day Spas St.,Exploregeorgia,NC,,,https://www.goldenisles.com/listing/emerald-wellness/2219/,,https://exploregeorgia.org/spas-wellness
Emerald Wellness,8 of 63 Emerald Wellness Day Spas St.,Exploregeorgia,NC,,,https://www.goldenisles.com/listing/emerald-wellness/2219/,,https://exploregeorgia.org/spas-wellness
Marriott Savannah Riverfront,,Exploregeorgia,NC,,,http://www.savannahmarriott.com,,https://exploregeorgia.org/spas-wellness
Rivet House Athens,,Exploregeorgia,NC,,,https://www.rivethouse.com/,,https://exploregeorgia.org/spas-wellness
Foot Palace Reflexology Spa,,Exploregeorgia,NC,,,https://yourfootpalace.com/,,https://exploregeorgia.org/spas-wellness
Dahlonega Resort & Vineyard,,Exploregeorgia,NC,,,https://dahlonegasresort.com/,,https://exploregeorgia.org/spas-wellness
The Lookshop Aesthetics Studio,,Exploregeorgia,NC,,,https://www.thelookshop.com/,,https://exploregeorgia.org/spas-wellness
Stretch Zone,,Exploregeorgia,NC,,,https://www.stretchzone.com/locations/st-simons-island,,https://exploregeorgia.org/spas-wellness
Sculpt Collective,,Exploregeorgia,NC,,,https://www.joinsculptcollective.com/,,https://exploregeorgia.org/spas-wellness
