name,street,city,state,zip,phone,website,description,source_url
Areté,213 East Braxton Foushee Street,Carrboro,NC,,,https://www.floatarete.com,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
Ari.A Spa Massage,104 North Elliott Road,Chapel Hill,NC,,,https://ariaspamassage.com/,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
Hillsborough Spa and Day Retreat,1814 Beckett's Ridge Drive,Hillsborough,NC,,,https://hillsboroughspa.com/,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
Rishi Salon & Spa,400 Market Street,Chapel Hill,NC,,,https://www.rishisalonandspa.com/,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
Say it with Glass Designs,101 Two Hills Drive,Carrboro,NC,,,https://www.sayitwithglassdesigns.com/,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
Tigerlily Massage & Bodywork,121 North Churton Street,Hillsborough,NC,,,https://www.tigerlilymassage.org/,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
Wine & Design Chapel Hill,1201 Raleigh Road,Chapel Hill,NC,,,https://www.wineanddesign.com/chapelhill-nc/,,https://www.visitchapelhill.org/things-to-do/wellness-spas/
